filter_name,prediction_case_id,driver_number,decision_time_t_rel_s,rejoin_t_rel_s,rejoin_reference_s_m,predicted_rejoin_position,realized_rejoin_position,rejoin_position_error,n_rest_grid_cars_used,total_propagation_steps,decision_state_match_error_s,is_prediction_available,is_correct_prediction,is_within_one_position
BatchLUMVE,1_2671,1,2646.476,2671.202,19592.2161111111,2,NaN,NaN,19,950,0.0239999999998872,0,0,0
BatchLUMVE,1_6831,1,6806.054,6830.854,187032.447499999,1,NaN,NaN,19,950,0.0540000000000873,0,0,0
BatchLUMVE,2_2709,2,2684.194,2709.11,19639.0219444444,4,NaN,NaN,19,950,0.19399999999996,0,0,0
BatchLUMVE,2_7329,2,7303.432,7328.732,203127.403055554,11,NaN,NaN,19,969,0.068000000000211,0,0,0
BatchLUMVE,3_2700,3,2675.198,2700.056,16360.675,14,NaN,NaN,19,950,0.197999999999865,0,0,0
BatchLUMVE,4_2660,4,2635.671,2660.326,16347.8775,10,4,6,19,950,0.170999999999822,1,0,0
BatchLUMVE,10_2690,10,2665.194,2690.012,19600.7841666666,1,NaN,NaN,19,950,0.19399999999996,0,0,0
BatchLUMVE,14_2705,14,2680.575,2705.469,13195.7738888889,19,NaN,NaN,19,950,0.0749999999998181,0,0,0
BatchLUMVE,16_2649,16,2624.068,2648.648,16339.3380555556,10,NaN,NaN,19,950,0.068000000000211,0,0,0
BatchLUMVE,18_2695,18,2670.197,2695.032,16412.5044444445,14,NaN,NaN,19,950,0.197000000000116,0,0,0
BatchLUMVE,18_6091,18,6065.499,6090.599,150816.301388889,14,NaN,NaN,19,969,0.00100000000020373,0,0,0
BatchLUMVE,18_6596,18,6567.113,6596.313,170460.634444445,15,NaN,NaN,19,1121,0.113000000000284,0,0,0
BatchLUMVE,22_2681,22,2656.068,2680.843,16333.7994444444,12,NaN,NaN,19,950,0.068000000000211,0,0,0
BatchLUMVE,23_2687,23,2662.378,2687.191,19564.8808333333,2,NaN,NaN,19,950,0.121999999999844,0,0,0
BatchLUMVE,24_2718,24,2693.591,2718.455,19603.7475,6,16,-10,19,950,0.0909999999998945,1,0,0
BatchLUMVE,24_8370,24,8344.304,8369.604,246021.211111109,12,NaN,NaN,19,969,0.195999999999913,0,0,0
BatchLUMVE,44_2676,44,2651.295,2676.048,20104.8580555556,1,NaN,NaN,19,950,0.204999999999927,0,0,0
BatchLUMVE,44_6755,44,6730.255,6755.455,184162.203888889,1,NaN,NaN,19,969,0.244999999999891,0,0,0
BatchLUMVE,55_2655,55,2630.735,2655.005,16203.8352777778,10,3,7,19,931,0.235000000000127,1,0,0
