filter_name,prediction_case_id,driver_number,decision_time_t_rel_s,rejoin_t_rel_s,rejoin_s_anchor_m,predicted_position,realized_position,position_error,n_cars_used,total_propagation_steps,decision_state_match_error_s,is_prediction_available,is_correct_prediction,is_within_one_position
BatchLUMVE,1_2671,1,2646.476,2671.202,19592.2161111111,2,NaN,NaN,19,950,6.02399999999989,0,0,0
BatchLUMVE,1_6831,1,6806.054,6830.854,187032.447499999,2,NaN,NaN,19,950,9.05400000000009,0,0,0
BatchLUMVE,2_2709,2,2684.194,2709.11,19639.0219444444,2,NaN,NaN,19,950,8.30600000000004,0,0,0
BatchLUMVE,2_7329,2,7303.432,7328.732,203127.403055554,2,NaN,NaN,19,969,5.93199999999979,0,0,0
BatchLUMVE,3_2700,3,2675.198,2700.056,16360.675,1,NaN,NaN,19,950,2.69799999999987,0,0,0
BatchLUMVE,4_2660,4,2635.671,2660.326,16347.8775,2,4,-2,19,950,3.17099999999982,1,0,0
BatchLUMVE,10_2690,10,2665.194,2690.012,19600.7841666666,2,NaN,NaN,19,950,7.30600000000004,0,0,0
BatchLUMVE,14_2705,14,2680.575,2705.469,13195.7738888889,2,NaN,NaN,19,950,8.07499999999982,0,0,0
BatchLUMVE,16_2649,16,2624.068,2648.648,16339.3380555556,2,NaN,NaN,19,950,8.43199999999979,0,0,0
BatchLUMVE,18_2695,18,2670.197,2695.032,16412.5044444445,2,NaN,NaN,19,950,2.30299999999988,0,0,0
BatchLUMVE,18_6091,18,6065.499,6090.599,150816.301388889,2,NaN,NaN,19,969,8.9989999999998,0,0,0
BatchLUMVE,18_6596,18,6567.113,6596.313,170460.634444445,2,NaN,NaN,19,1121,9.11300000000028,0,0,0
BatchLUMVE,22_2681,22,2656.068,2680.843,16333.7994444444,2,NaN,NaN,19,950,3.56800000000021,0,0,0
BatchLUMVE,23_2687,23,2662.378,2687.191,19564.8808333333,2,NaN,NaN,19,950,9.87800000000016,0,0,0
BatchLUMVE,24_2718,24,2693.591,2718.455,19603.7475,2,16,-14,19,950,1.09099999999989,1,0,0
BatchLUMVE,24_8370,24,8344.304,8369.604,246021.211111109,1,NaN,NaN,19,969,5.80400000000009,0,0,0
BatchLUMVE,44_2676,44,2651.295,2676.048,20104.8580555556,2,NaN,NaN,19,950,1.20499999999993,0,0,0
BatchLUMVE,44_6755,44,6730.255,6755.455,184162.203888889,2,NaN,NaN,19,969,7.24499999999989,0,0,0
BatchLUMVE,55_2655,55,2630.735,2655.005,16203.8352777778,2,3,-1,19,931,1.76499999999987,1,0,1
BatchLUMVE,63_2666,63,2641.507,2666.2,19558.1652777777,2,NaN,NaN,19,950,9.00700000000006,0,0,0
BatchLUMVE,77_2714,77,2688.97,2713.91,19586.2072222221,2,NaN,NaN,19,950,3.5300000000002,0,0,0
BatchLUMVE,77_3922,77,3896.94,3922.14,65495.8005555556,2,NaN,NaN,19,969,4.94000000000005,0,0,0
BatchLUMVE,81_2651,81,2626.353,2650.929,16365.3130555556,2,NaN,NaN,19,950,6.14699999999993,0,0,0
EKF,1_2671,1,2646.476,2671.202,19592.2161111111,2,NaN,NaN,19,950,6.02399999999989,0,0,0
EKF,1_6831,1,6806.054,6830.854,187032.447499999,2,NaN,NaN,19,950,9.05400000000009,0,0,0
EKF,2_2709,2,2684.194,2709.11,19639.0219444444,5,NaN,NaN,19,950,8.30600000000004,0,0,0
EKF,2_7329,2,7303.432,7328.732,203127.403055554,9,NaN,NaN,19,969,5.93199999999979,0,0,0
EKF,3_2700,3,2675.198,2700.056,16360.675,13,NaN,NaN,19,950,2.69799999999987,0,0,0
EKF,4_2660,4,2635.671,2660.326,16347.8775,10,4,6,19,950,3.17099999999982,1,0,0
EKF,10_2690,10,2665.194,2690.012,19600.7841666666,2,NaN,NaN,19,950,7.30600000000004,0,0,0
EKF,14_2705,14,2680.575,2705.469,13195.7738888889,19,NaN,NaN,19,950,8.07499999999982,0,0,0
EKF,16_2649,16,2624.068,2648.648,16339.3380555556,10,NaN,NaN,19,950,8.43199999999979,0,0,0
EKF,18_2695,18,2670.197,2695.032,16412.5044444445,14,NaN,NaN,19,950,2.30299999999988,0,0,0
EKF,18_6091,18,6065.499,6090.599,150816.301388889,15,NaN,NaN,19,969,8.9989999999998,0,0,0
EKF,18_6596,18,6567.113,6596.313,170460.634444445,14,NaN,NaN,19,1121,9.11300000000028,0,0,0
EKF,22_2681,22,2656.068,2680.843,16333.7994444444,12,NaN,NaN,19,950,3.56800000000021,0,0,0
EKF,23_2687,23,2662.378,2687.191,19564.8808333333,2,NaN,NaN,19,950,9.87800000000016,0,0,0
EKF,24_2718,24,2693.591,2718.455,19603.7475,6,16,-10,19,950,1.09099999999989,1,0,0
EKF,24_8370,24,8344.304,8369.604,246021.211111109,11,NaN,NaN,19,969,5.80400000000009,0,0,0
EKF,44_2676,44,2651.295,2676.048,20104.8580555556,1,NaN,NaN,19,950,1.20499999999993,0,0,0
EKF,44_6755,44,6730.255,6755.455,184162.203888889,2,NaN,NaN,19,969,7.24499999999989,0,0,0
EKF,55_2655,55,2630.735,2655.005,16203.8352777778,10,3,7,19,931,1.76499999999987,1,0,0
EKF,63_2666,63,2641.507,2666.2,19558.1652777777,2,NaN,NaN,19,950,9.00700000000006,0,0,0
EKF,77_2714,77,2688.97,2713.91,19586.2072222221,6,NaN,NaN,19,950,3.5300000000002,0,0,0
EKF,77_3922,77,3896.94,3922.14,65495.8005555556,5,NaN,NaN,19,969,4.94000000000005,0,0,0
EKF,81_2651,81,2626.353,2650.929,16365.3130555556,10,NaN,NaN,19,950,6.14699999999993,0,0,0
UKF,1_2671,1,2646.476,2671.202,19592.2161111111,2,NaN,NaN,19,950,6.02399999999989,0,0,0
UKF,1_6831,1,6806.054,6830.854,187032.447499999,2,NaN,NaN,19,950,9.05400000000009,0,0,0
UKF,2_2709,2,2684.194,2709.11,19639.0219444444,5,NaN,NaN,19,950,8.30600000000004,0,0,0
UKF,2_7329,2,7303.432,7328.732,203127.403055554,11,NaN,NaN,19,969,5.93199999999979,0,0,0
UKF,3_2700,3,2675.198,2700.056,16360.675,13,NaN,NaN,19,950,2.69799999999987,0,0,0
UKF,4_2660,4,2635.671,2660.326,16347.8775,10,4,6,19,950,3.17099999999982,1,0,0
UKF,10_2690,10,2665.194,2690.012,19600.7841666666,1,NaN,NaN,19,950,7.30600000000004,0,0,0
UKF,14_2705,14,2680.575,2705.469,13195.7738888889,19,NaN,NaN,19,950,8.07499999999982,0,0,0
UKF,16_2649,16,2624.068,2648.648,16339.3380555556,10,NaN,NaN,19,950,8.43199999999979,0,0,0
UKF,18_2695,18,2670.197,2695.032,16412.5044444445,14,NaN,NaN,19,950,2.30299999999988,0,0,0
UKF,18_6091,18,6065.499,6090.599,150816.301388889,15,NaN,NaN,19,969,8.9989999999998,0,0,0
UKF,18_6596,18,6567.113,6596.313,170460.634444445,15,NaN,NaN,19,1121,9.11300000000028,0,0,0
UKF,22_2681,22,2656.068,2680.843,16333.7994444444,12,NaN,NaN,19,950,3.56800000000021,0,0,0
UKF,23_2687,23,2662.378,2687.191,19564.8808333333,2,NaN,NaN,19,950,9.87800000000016,0,0,0
